name,address,start_time,time_span,time_interval,end_time,floor,code,id,longitude,altitude,latitude,phone_model,android_version,device_brand,weather,1_sensor_value1,1_sensor_value2,1_sensor_value3,2_sensor_value1,2_sensor_value2,2_sensor_value3,3_sensor_value1,3_sensor_value2,3_sensor_value3,4_sensor_value1,4_sensor_value2,4_sensor_value3,5_sensor_value1,5_sensor_value2,5_sensor_value3,4_sensor_value1.1,4_sensor_value2.1,4_sensor_value3.1,5_sensor_value1.1,5_sensor_value2.1,5_sensor_value3.1,10_sensor_value1,10_sensor_value2,10_sensor_value3,11_sensor_value1,11_sensor_value2,11_sensor_value3,14_sensor_value1,14_sensor_value2,14_sensor_value3,15_sensor_value1,15_sensor_value2,15_sensor_value3,16_sensor_value1,16_sensor_value2,16_sensor_value3,17_sensor_value1,17_sensor_value2,17_sensor_value3,19_sensor_value1,19_sensor_value2,19_sensor_value3,20_sensor_value1,20_sensor_value2,20_sensor_value3,22_sensor_value1,22_sensor_value2,22_sensor_value3,27_sensor_value1,27_sensor_value2,27_sensor_value3,29_sensor_value1,29_sensor_value2,29_sensor_value3,30_sensor_value1,30_sensor_value2,30_sensor_value3,35_sensor_value1,35_sensor_value2,35_sensor_value3,33171008_sensor_value1,33171008_sensor_value2,33171008_sensor_value3,33171024_sensor_value1,33171024_sensor_value2,33171024_sensor_value3,33171028_sensor_value1,33171028_sensor_value2,33171028_sensor_value3,33171032_sensor_value1,33171032_sensor_value2,33171032_sensor_value3,33171034_sensor_value1,33171034_sensor_value2,33171034_sensor_value3,33171052_sensor_value1,33171052_sensor_value2,33171052_sensor_value3,65538_sensor_value1,65538_sensor_value2,65538_sensor_value3,65544_sensor_value1,65544_sensor_value2,65544_sensor_value3,6_sensor_value1,6_sensor_value2,6_sensor_value3,18_sensor_value1,18_sensor_value2,18_sensor_value3,23_sensor_value1,23_sensor_value2,23_sensor_value3,25_sensor_value1,25_sensor_value2,25_sensor_value3,88_sensor_value1,88_sensor_value2,88_sensor_value3,89_sensor_value1,89_sensor_value2,89_sensor_value3,90_sensor_value1,90_sensor_value2,90_sensor_value3,168_sensor_value1,168_sensor_value2,168_sensor_value3,169_sensor_value1,169_sensor_value2,169_sensor_value3,10002_sensor_value1,10002_sensor_value2,10002_sensor_value3,65552_sensor_value1,65552_sensor_value2,65552_sensor_value3,65553_sensor_value1,65553_sensor_value2,65553_sensor_value3,65554_sensor_value1,65554_sensor_value2,65554_sensor_value3,65556_sensor_value1,65556_sensor_value2,65556_sensor_value3,65611_sensor_value1,65611_sensor_value2,65611_sensor_value3,65614_sensor_value1,65614_sensor_value2,65614_sensor_value3,65627_sensor_value1,65627_sensor_value2,65627_sensor_value3,65633_sensor_value1,65633_sensor_value2,65633_sensor_value3,66537_sensor_value1,66537_sensor_value2,66537_sensor_value3,66538_sensor_value1,66538_sensor_value2,66538_sensor_value3,66539_sensor_value1,66539_sensor_value2,66539_sensor_value3,66540_sensor_value1,66540_sensor_value2,66540_sensor_value3,66542_sensor_value1,66542_sensor_value2,66542_sensor_value3,66543_sensor_value1,66543_sensor_value2,66543_sensor_value3,66544_sensor_value1,66544_sensor_value2,66544_sensor_value3,66552_sensor_value1,66552_sensor_value2,66552_sensor_value3,66554_sensor_value1,66554_sensor_value2,66554_sensor_value3,66555_sensor_value1,66555_sensor_value2,66555_sensor_value3,66556_sensor_value1,66556_sensor_value2,66556_sensor_value3,33171000_sensor_value1,33171000_sensor_value2,33171000_sensor_value3,33171002_sensor_value1,33171002_sensor_value2,33171002_sensor_value3,33171004_sensor_value1,33171004_sensor_value2,33171004_sensor_value3,33171006_sensor_value1,33171006_sensor_value2,33171006_sensor_value3,33171012_sensor_value1,33171012_sensor_value2,33171012_sensor_value3,33171020_sensor_value1,33171020_sensor_value2,33171020_sensor_value3,33171030_sensor_value1,33171030_sensor_value2,33171030_sensor_value3,33171036_sensor_value1,33171036_sensor_value2,33171036_sensor_value3,33171040_sensor_value1,33171040_sensor_value2,33171040_sensor_value3,33171042_sensor_value1,33171042_sensor_value2,33171042_sensor_value3,33171054_sensor_value1,33171054_sensor_value2,33171054_sensor_value3,33171056_sensor_value1,33171056_sensor_value2,33171056_sensor_value3,33171060_sensor_value1,33171060_sensor_value2,33171060_sensor_value3,33171070_sensor_value1,33171070_sensor_value2,33171070_sensor_value3,f
Tom35,1,2021-12-16 07:53:00,2.0,0.0,2021-12-16 07:55:00,5.0,211000000000000.0,324899,108.897741,0.0,34.161355,CLT-AL01,10,HUAWEI,999,1.1858481,7.282271,6.674613,9.5625,-33.5,-23.875,250.22,-48.059998,5.73,0.111753434,-0.015550884,-0.02417281,334.9,8582.0,68.0,5.0,11,0,0.98029995,7.2587,6.5206,0.1964,0.0177,0.138,0.271334,0.306456,0.757918,-72.6875,-152.1875,107.875,0.408454,-0.02582,0.065224,0.050195668,-0.033684853,-0.010157816,0,0,0,124326.0,0.0,0.0,0.269277,0.300358,0.762089,,,,,,,,,,,,,0.99456096,7.212073,6.7063985,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,28.273,1.0,0.0,14.0,12.0,3.0,0.0,0.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
Tom35,3,2021-12-17 05:11:00,2.0,1276.0,2021-12-17 05:13:00,4.0,211000000000000.0,366303,108.902478,0.0,34.156197,CLT-AL01,10,HUAWEI,999,-0.06799533,-0.00021069,9.995821,16.1875,55.1875,-127.0,29.359999,0.089999996,-0.52,0.005218534,-0.003647738,0.005009095,13.1,4342.0,4.0,5.0,9,0,-0.0906,-0.0158,9.8062,0.0317,0.0158,0.1671,0.000386,0.004673,-0.253419,-46.0625,-53.75,-16.5625,0.000366,0.007198,-0.266823,-0.001902409,-0.005759587,-0.007923795,0,0,0,128347.0,0.0,0.0,-0.000503,0.002932,0.136198,,,,,,,,,,,,,-0.07092583,0.002978387,9.985794,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0.0,28.464,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
Tom35,7,2021-12-18 04:26:42,2.0,1393.7,2021-12-18 04:28:42,1.0,211000000000000.0,403491,108.896191,0.0,34.161881,CLT-AL01,10,HUAWEI,¶àÔÆ,0.83911026,0.004874595,8.661427,25.0625,15.25,-47.4375,290.79,-0.61,12.63,-0.88135636,0.39271653,0.85243624,7182.9,8477.0,411.0,5.0,12,0,2.1455,0.1033,9.5685,-1.3217,-0.1033,-0.91899997,0.0669179999999999,-0.0875399999999999,0.56494,-4.875,-31.9375,-16.875,-0.013533,-0.108431,-0.181693,0.45874235,-1.9968487,0.14484487,0,0,0,131665.0,0.0,0.0,0.027134,-0.026349,0.503007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17939274,-0.61111516,5.882438700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.132002,1.0,0.0,505.0,439.0,191.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,1,2021-12-18 04:33:28,0.0,4.766666666666667,2021-12-18 04:33:28,4.0,211000000000000.0,404091,108.89703,378.89,34.16104,CLT-AL01,10,HUAWEI,999,-1.4311771,7.460945,6.8720293,35.1875,-11.375,-36.0,272.63998,-37.48,-5.5,-0.07433357,0.03817035,0.1152789999999999,377.0,6668.0,105.0,5.0,10,0,-0.941,5.9403,7.7457,-0.48079997,1.5127,-0.8811,0.200711,0.254537,0.642039,9.1875,-60.9375,-3.9375,0.187538,0.263245,0.681582,-0.07468264,0.037926003,0.1147553999999999,0,0,0,132407.0,0.0,0.0,0.271875,0.2142909999999999,0.48968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69369596,5.588517,7.099153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19.292002,1.0,0.0,13.0,10.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,3,2021-12-18 05:26:31,2.0166666666666666,53.05,2021-12-18 05:28:32,4.0,211000000000000.0,404324,108.902372,413.8,34.155892,CLT-AL01,10,HUAWEI,¶àÔÆ,-0.0353863,0.007000646,9.92637,-20.5625,-8.9375,-29.25,115.909996,0.19999999,1.8399999,0.000279253,-0.002059489,0.004450589,58.7,6521.0,13.0,5.0,9,0,0.31559998,-0.0348,9.801499,-0.3353,0.0348,0.113,-0.014588,-0.007036,-0.847575,-49.875,-57.375,-2.0,-0.004516,-0.013915,-0.137549,0.006649705,0.00434587,-0.00577704,0,0,0,135317.0,0.0,0.0,0.001053,0.001032,-0.8368260000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012440273,-0.006924031,9.910971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,20.429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,1,2021-12-19 07:24:27,2.0,1555.9166666666667,2021-12-19 07:26:27,1.0,0.0,440197,108.897759,413.8,34.161088,CLT-AL01,10,HUAWEI,999,0.04862145,-0.061981093,9.996558,-15.0625,-19.0625,-28.6875,142.41,0.65,-0.08,-0.001012291,0.00301942,-0.011798426,231.2,5634.0,39.0,5.0,9,0,-0.0140999989999999,-0.112399995,9.8059,0.053299997,0.0634,0.1771,-0.001158,0.0056619999999999,-0.946664,-20.375,-81.6875,5.1875,-0.00607,0.000404,0.001459,-0.000785398,0.003089233,-0.011205014,0,0,0,138492.0,0.0,0.0,-0.002495,0.004343,-0.946773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04862145,-0.061981093,9.996558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,211000000000000.0
Tom35,7,2021-12-20 01:46:40,2.0166666666666666,1100.2166666666667,2021-12-20 01:48:41,1.0,211000000000000.0,462781,108.896108,0.0,34.160323,CLT-AL01,10,HUAWEI,Òõ,3.8405197,-8.213663,-6.646093400000001,-25.0625,38.0,8.75,235.62999,139.87,56.16,3.7785156,-3.6841109,-3.2335541,1684.0,4893.0,473.0,5.0,11,0,8.1459,-3.5189,-4.1749997,-4.3115,-4.6793,-2.4542,-0.243886,-0.808322,0.0613509999999999,-44.375,-12.0,48.125,-0.434551,-0.723055,-0.071449,4.5673695,-2.8035572,-4.2867904,0,0,0,146298.0,0.0,0.0,-0.020697,-0.8299549999999999,0.457371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.130997,-9.587131,-4.0765305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.816002,1.0,0.0,817.0,655.0,293.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,1,2021-12-20 01:57:16,2.0,8.583333333333334,2021-12-20 01:59:16,4.0,211000000000000.0,463381,108.896948,413.8,34.161119,CLT-AL01,10,HUAWEI,Òõ,-1.4100411,5.400275,8.146147000000001,5.9375,-45.875,-8.9375,182.09,-34.1,-7.6099997,0.036180675,0.0254119929999999,0.019861847,229.7,7025.0,70.0,5.0,10,0,-1.2991999,5.4498,8.048699000000001,-0.103099994,-0.0659,0.0907,-0.058121,0.293685,0.95342,-25.8125,-93.625,12.125,0.1958609999999999,0.226633,0.556987,0.0078539819999999,-0.04839798,-0.040421825,0,0,0,146905.0,0.0,0.0,-0.067274,0.28976,0.95408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4907162,5.391723000000001,8.649399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,25.281002,1.0,0.0,34.0,31.0,9.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,8,2021-12-20 07:05:00,2.0,305.73333333333335,2021-12-20 07:07:00,1.0,211000000000000.0,472582,108.899832,453.88,34.162973,CLT-AL01,10,HUAWEI,999,5.0101066,-9.227771,-4.54838,-41.75,16.5,-0.75,105.63,105.93,19.539999,1.7820859,0.4476944,-0.51462775,7.3,4716.0,1.0,5.0,7,0,3.2807998999999994,-8.886499,-2.537,1.9950999,0.0213,-1.0619999,-0.556905,0.5649850000000001,-0.554767,-66.8125,-25.5,20.75,-0.61246,-0.504355,0.199107,1.8893539,0.39060467,-0.6412863,0,0,0,148285.0,0.0,0.0,-0.6418229999999999,0.424609,-0.587734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.376132,-8.358168,-2.7320619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Tom35,7,2021-12-21 03:23:44,2.0166666666666666,1216.7333333333333,2021-12-21 03:25:45,1.0,211000000000000.0,496321,108.899298,413.8,34.163718,CLT-AL01,10,HUAWEI,Òõ,-11.672481,-5.5148234,8.103233,32.5,8.25,-44.8125,169.34999,67.72,-76.49,-1.4912442,-1.4959566999999998,2.1378713,16940.8,8046.0,749.0,5.0,16,0,-9.5356,-2.1187,0.8678,0.1408,-3.7652,4.8002996,0.471254,0.483393,-0.6173,141.25,-24.1875,-219.875,-0.150988,0.659313,-0.000425,-1.4912268,-1.4964104,2.137592,0,0,0,159913.0,0.0,0.0,0.3225429999999999,0.355357,-0.7993180000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.672481,-5.5148234,8.103233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.316002,1.0,0.0,2365.0,2116.0,1024.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
